CHROMATOGRAM
3-phenylpropyl-chloride.raw
Data points: 36001
Time	Intensity
0.000000	0
0.000833	0
0.001667	-2
0.002500	-6
0.003333	-0
0.004167	-7
0.005000	-5
0.005833	-0
0.006667	-5
0.007500	-5
0.008333	2
0.009167	-7
0.010000	-1
0.010833	-4
0.011667	1
0.012500	-1
0.013333	7
0.014167	1
0.015000	-1
0.015833	7
0.016667	6
0.017500	3
0.018333	9
0.019167	5
0.020000	2
0.020833	0
0.021667	-0
0.022500	-2
0.023333	-1
0.024167	-1
0.025000	-8
0.025833	2
0.026667	-10
0.027500	-9
0.028333	-4
0.029167	-4
0.030000	-3
0.030833	-1
0.031667	1
0.032500	-5
0.033333	-3
0.034167	-10
0.035000	-11
0.035833	-6
0.036667	-14
0.037500	-14
0.038333	-14
0.039167	-10
0.040000	-12
0.040833	-5
0.041667	-12
0.042500	-14
0.043333	-11
0.044167	-14
0.045000	-17
0.045833	-16
0.046667	-17
0.047500	-21
0.048333	-12
0.049167	-17
0.050000	-21
0.050833	-20
0.051667	-20
0.052500	-23
0.053333	-26
0.054167	-28
0.055000	-29
0.055833	-23
0.056667	-26
0.057500	-26
0.058333	-26
0.059167	-29
0.060000	-31
0.060833	-32
0.061667	-28
0.062500	-25
0.063333	-27
0.064167	-33
0.065000	-32
0.065833	-29
0.066667	-38
0.067500	-42
0.068333	-36
0.069167	-43
0.070000	-38
0.070833	-37
0.071667	-44
0.072500	-45
0.073333	-43
0.074167	-45
0.075000	-47
0.075833	-50
0.076667	-53
0.077500	-55
0.078333	-49
0.079167	-49
0.080000	-44
0.080833	-41
0.081667	-47
0.082500	-43
0.083333	-45
0.084167	-50
0.085000	-49
0.085833	-49
0.086667	-48
0.087500	-47
0.088333	-46
0.089167	-53
0.090000	-43
0.090833	-48
0.091667	-50
0.092500	-48
0.093333	-46
0.094167	-53
0.095000	-47
0.095833	-49
0.096667	-44
0.097500	-48
0.098333	-55
0.099167	-47
0.100000	-49
0.100833	-55
0.101667	-56
0.102500	-65
0.103333	-56
0.104167	-58
0.105000	-58
0.105833	-56
0.106667	-68
0.107500	-57
0.108333	-59
0.109167	-58
0.110000	-53
0.110833	-53
0.111667	-57
0.112500	-60
0.113333	-59
0.114167	-64
0.115000	-59
0.115833	-59
0.116667	-65
0.117500	-62
0.118333	-57
0.119167	-54
0.120000	-53
0.120833	-57
0.121667	-64
0.122500	-73
0.123333	-72
0.124167	-72
0.125000	-69
0.125833	-62
0.126667	-66
0.127500	-61
0.128333	-62
0.129167	-66
0.130000	-70
0.130833	-68
0.131667	-67
0.132500	-74
0.133333	-72
0.134167	-69
0.135000	-69
0.135833	-65
0.136667	-75
0.137500	-73
0.138333	-76
0.139167	-73
0.140000	-75
0.140833	-69
0.141667	-79
0.142500	-72
0.143333	-78
0.144167	-78
0.145000	-84
0.145833	-80
0.146667	-88
0.147500	-89
0.148333	-82
0.149167	-79
0.150000	-78
0.150833	-78
0.151667	-79
0.152500	-75
0.153333	-76
0.154167	-78
0.155000	-80
0.155833	-75
0.156667	-79
0.157500	-82
0.158333	-85
0.159167	-85
0.160000	-86
0.160833	-86
0.161667	-88
0.162500	-86
0.163333	-91
0.164167	-95
0.165000	-90
0.165833	-92
0.166667	-95
0.167500	-91
0.168333	-90
0.169167	-93
0.170000	-96
0.170833	-96
0.171667	-91
0.172500	-94
0.173333	-85
0.174167	-86
0.175000	-92
0.175833	-89
0.176667	-86
0.177500	-92
0.178333	-93
0.179167	-98
0.180000	-96
0.180833	-94
0.181667	-96
0.182500	-98
0.183333	-93
0.184167	-97
0.185000	-95
0.185833	-93
0.186667	-93
0.187500	-96
0.188333	-95
0.189167	-97
0.190000	-94
0.190833	-91
0.191667	-92
0.192500	-102
0.193333	-99
0.194167	-95
0.195000	-100
0.195833	-98
0.196667	-94
0.197500	-92
0.198333	-97
0.199167	-100
0.200000	-98
0.200833	-98
0.201667	-100
0.202500	-104
0.203333	-102
0.204167	-110
0.205000	-104
0.205833	-104
0.206667	-103
0.207500	-106
0.208333	-103
0.209167	-103
0.210000	-101
0.210833	-99
0.211667	-103
0.212500	-97
0.213333	-105
0.214167	-104
0.215000	-105
0.215833	-103
0.216667	-105
0.217500	-98
0.218333	-100
0.219167	-105
0.220000	-96
0.220833	-100
0.221667	-105
0.222500	-102
0.223333	-104
0.224167	-102
0.225000	-104
0.225833	-101
0.226667	-105
0.227500	-100
0.228333	-102
0.229167	-110
0.230000	-108
0.230833	-106
0.231667	-110
0.232500	-107
0.233333	-105
0.234167	-108
0.235000	-102
0.235833	-111
0.236667	-105
0.237500	-110
0.238333	-104
0.239167	-107
0.240000	-109
0.240833	-117
0.241667	-111
0.242500	-111
0.243333	-114
0.244167	-115
0.245000	-117
0.245833	-111
0.246667	-117
0.247500	-108
0.248333	-118
0.249167	-115
0.250000	-125
0.250833	-115
0.251667	-117
0.252500	-115
0.253333	-115
0.254167	-116
0.255000	-118
0.255833	-110
0.256667	-117
0.257500	-118
0.258333	-114
0.259167	-114
0.260000	-118
0.260833	-115
0.261667	-112
0.262500	-115
0.263333	-118
0.264167	-118
0.265000	-120
0.265833	-116
0.266667	-114
0.267500	-119
0.268333	-118
0.269167	-114
0.270000	-116
0.270833	-119
0.271667	-119
0.272500	-119
0.273333	-116
0.274167	-117
0.275000	-121
0.275833	-120
0.276667	-119
0.277500	-124
0.278333	-116
0.279167	-117
0.280000	-128
0.280833	-116
0.281667	-115
0.282500	-116
0.283333	-110
0.284167	-112
0.285000	-121
0.285833	-115
0.286667	-115
0.287500	-119
0.288333	-111
0.289167	-120
0.290000	-119
0.290833	-113
0.291667	-119
0.292500	-127
0.293333	-114
0.294167	-115
0.295000	-122
0.295833	-114
0.296667	-118
0.297500	-121
0.298333	-108
0.299167	-117
0.300000	-116
0.300833	-112
0.301667	-115
0.302500	-124
0.303333	-119
0.304167	-113
0.305000	-121
0.305833	-116
0.306667	-117
0.307500	-123
0.308333	-118
0.309167	-123
0.310000	-121
0.310833	-109
0.311667	-118
0.312500	-121
0.313333	-115
0.314167	-121
0.315000	-121
0.315833	-118
0.316667	-117
0.317500	-125
0.318333	-122
0.319167	-119
0.320000	-123
0.320833	-106
0.321667	-114
0.322500	-107
0.323333	-107
0.324167	-110
0.325000	-105
0.325833	-111
0.326667	-107
0.327500	-115
0.328333	-108
0.329167	-113
0.330000	-111
0.330833	-112
0.331667	-116
0.332500	-113
0.333333	-115
0.334167	-110
0.335000	-112
0.335833	-113
0.336667	-111
0.337500	-113
0.338333	-107
0.339167	-120
0.340000	-116
0.340833	-111
0.341667	-117
0.342500	-113
0.343333	-117
0.344167	-116
0.345000	-116
0.345833	-107
0.346667	-116
0.347500	-106
0.348333	-106
0.349167	-116
0.350000	-111
0.350833	-113
0.351667	-116
0.352500	-107
0.353333	-105
0.354167	-107
0.355000	-108
0.355833	-105
0.356667	-122
0.357500	-111
0.358333	-103
0.359167	-119
0.360000	-115
0.360833	-110
0.361667	-114
0.362500	-111
0.363333	-107
0.364167	-109
0.365000	-115
0.365833	-105
0.366667	-115
0.367500	-108
0.368333	-110
0.369167	-115
0.370000	-110
0.370833	-109
0.371667	-117
0.372500	-114
0.373333	-117
0.374167	-120
0.375000	-117
0.375833	-111
0.376667	-120
0.377500	-119
0.378333	-115
0.379167	-116
0.380000	-109
0.380833	-113
0.381667	-108
0.382500	-115
0.383333	-110
0.384167	-110
0.385000	-112
0.385833	-112
0.386667	-116
0.387500	-114
0.388333	-111
0.389167	-112
0.390000	-109
0.390833	-113
0.391667	-111
0.392500	-116
0.393333	-117
0.394167	-119
0.395000	-125
0.395833	-119
0.396667	-122
0.397500	-115
0.398333	-115
0.399167	-119
0.400000	-114
0.400833	-119
0.401667	-111
0.402500	-118
0.403333	-121
0.404167	-116
0.405000	-114
0.405833	-115
0.406667	-117
0.407500	-119
0.408333	-115
0.409167	-125
0.410000	-118
0.410833	-117
0.411667	-118
0.412500	-122
0.413333	-116
0.414167	-115
0.415000	-119
0.415833	-117
0.416667	-119
0.417500	-117
0.418333	-120
0.419167	-123
0.420000	-117
0.420833	-116
0.421667	-118
0.422500	-116
0.423333	-118
0.424167	-123
0.425000	-124
0.425833	-121
0.426667	-125
0.427500	-124
0.428333	-117
0.429167	-119
0.430000	-117
0.430833	-118
0.431667	-124
0.432500	-128
0.433333	-121
0.434167	-128
0.435000	-127
0.435833	-124
0.436667	-125
0.437500	-123
0.438333	-126
0.439167	-123
0.440000	-124
0.440833	-122
0.441667	-130
0.442500	-127
0.443333	-121
0.444167	-132
0.445000	-128
0.445833	-127
0.446667	-128
0.447500	-126
0.448333	-125
0.449167	-125
0.450000	-131
0.450833	-125
0.451667	-127
0.452500	-122
0.453333	-119
0.454167	-123
0.455000	-125
0.455833	-126
0.456667	-127
0.457500	-134
0.458333	-127
0.459167	-128
0.460000	-130
0.460833	-128
0.461667	-121
0.462500	-132
0.463333	-130
0.464167	-134
0.465000	-131
0.465833	-133
0.466667	-129
0.467500	-133
0.468333	-130
0.469167	-132
0.470000	-127
0.470833	-128
0.471667	-135
0.472500	-137
0.473333	-137
0.474167	-138
0.475000	-137
0.475833	-128
0.476667	-131
0.477500	-137
0.478333	-125
0.479167	-136
0.480000	-134
0.480833	-136
0.481667	-139
0.482500	-143
0.483333	-135
0.484167	-145
0.485000	-142
0.485833	-135
0.486667	-143
0.487500	-147
0.488333	-149
0.489167	-146
0.490000	-147
0.490833	-138
0.491667	-147
0.492500	-144
0.493333	-146
0.494167	-144
0.495000	-141
0.495833	-136
0.496667	-139
0.497500	-140
0.498333	-143
0.499167	-135
0.500000	-140
0.500833	-128
0.501667	-136
0.502500	-142
0.503333	-135
0.504167	-146
0.505000	-137
0.505833	-146
0.506667	-142
0.507500	-141
0.508333	-139
0.509167	-147
0.510000	-141
0.510833	-140
0.511667	-147
0.512500	-143
0.513333	-144
0.514167	-145
0.515000	-141
0.515833	-140
0.516667	-138
0.517500	-137
0.518333	-139
0.519167	-145
0.520000	-145
0.520833	-140
0.521667	-145
0.522500	-149
0.523333	-148
0.524167	-149
0.525000	-149
0.525833	-148
0.526667	-150
0.527500	-149
0.528333	-149
0.529167	-148
0.530000	-143
0.530833	-146
0.531667	-144
0.532500	-139
0.533333	-139
0.534167	-146
0.535000	-146
0.535833	-145
0.536667	-149
0.537500	-144
0.538333	-139
0.539167	-140
0.540000	-147
0.540833	-146
0.541667	-153
0.542500	-150
0.543333	-152
0.544167	-150
0.545000	-149
0.545833	-147
0.546667	-148
0.547500	-152
0.548333	-158
0.549167	-155
0.550000	-148
0.550833	-146
0.551667	-148
0.552500	-150
0.553333	-148
0.554167	-155
0.555000	-155
0.555833	-150
0.556667	-153
0.557500	-159
0.558333	-153
0.559167	-152
0.560000	-152
0.560833	-150
0.561667	-154
0.562500	-157
0.563333	-154
0.564167	-154
0.565000	-158
0.565833	-162
0.566667	-163
0.567500	-154
0.568333	-156
0.569167	-158
0.570000	-158
0.570833	-151
0.571667	-158
0.572500	-157
0.573333	-159
0.574167	-161
0.575000	-153
0.575833	-162
0.576667	-159
0.577500	-160
0.578333	-161
0.579167	-154
0.580000	-155
0.580833	-156
0.581667	-162
0.582500	-162
0.583333	-156
0.584167	-158
0.585000	-160
0.585833	-161
0.586667	-161
0.587500	-162
0.588333	-160
0.589167	-160
0.590000	-160
0.590833	-154
0.591667	-157
0.592500	-149
0.593333	-148
0.594167	-157
0.595000	-156
0.595833	-154
0.596667	-157
0.597500	-157
0.598333	-157
0.599167	-158
0.600000	-161
0.600833	-159
0.601667	-159
0.602500	-156
0.603333	-157
0.604167	-157
0.605000	-153
0.605833	-158
0.606667	-161
0.607500	-160
0.608333	-156
0.609167	-169
0.610000	-164
0.610833	-158
0.611667	-163
0.612500	-161
0.613333	-155
0.614167	-159
0.615000	-160
0.615833	-158
0.616667	-160
0.617500	-156
0.618333	-151
0.619167	-162
0.620000	-159
0.620833	-154
0.621667	-159
0.622500	-158
0.623333	-163
0.624167	-161
0.625000	-154
0.625833	-158
0.626667	-160
0.627500	-165
0.628333	-168
0.629167	-172
0.630000	-168
0.630833	-166
0.631667	-165
0.632500	-172
0.633333	-169
0.634167	-168
0.635000	-161
0.635833	-163
0.636667	-160
0.637500	-164
0.638333	-166
0.639167	-165
0.640000	-168
0.640833	-171
0.641667	-170
0.642500	-164
0.643333	-159
0.644167	-161
0.645000	-164
0.645833	-169
0.646667	-165
0.647500	-163
0.648333	-169
0.649167	-167
0.650000	-170
0.650833	-168
0.651667	-169
0.652500	-168
0.653333	-171
0.654167	-178
0.655000	-172
0.655833	-173
0.656667	-170
0.657500	-170
0.658333	-167
0.659167	-171
0.660000	-169
0.660833	-170
0.661667	-176
0.662500	-178
0.663333	-180
0.664167	-182
0.665000	-178
0.665833	-175
0.666667	-176
0.667500	-176
0.668333	-170
0.669167	-177
0.670000	-175
0.670833	-166
0.671667	-177
0.672500	-176
0.673333	-175
0.674167	-175
0.675000	-175
0.675833	-175
0.676667	-176
0.677500	-173
0.678333	-173
0.679167	-176
0.680000	-175
0.680833	-183
0.681667	-180
0.682500	-180
0.683333	-177
0.684167	-178
0.685000	-181
0.685833	-177
0.686667	-176
0.687500	-181
0.688333	-181
0.689167	-183
0.690000	-182
0.690833	-179
0.691667	-178
0.692500	-179
0.693333	-172
0.694167	-178
0.695000	-179
0.695833	-176
0.696667	-176
0.697500	-180
0.698333	-178
0.699167	-180
0.700000	-180
0.700833	-180
0.701667	-181
0.702500	-185
0.703333	-180
0.704167	-180
0.705000	-184
0.705833	-180
0.706667	-176
0.707500	-179
0.708333	-181
0.709167	-181
0.710000	-180
0.710833	-180
0.711667	-183
0.712500	-180
0.713333	-180
0.714167	-180
0.715000	-187
0.715833	-181
0.716667	-183
0.717500	-189
0.718333	-182
0.719167	-187
0.720000	-188
0.720833	-184
0.721667	-184
0.722500	-182
0.723333	-181
0.724167	-182
0.725000	-181
0.725833	-175
0.726667	-187
0.727500	-187
0.728333	-183
0.729167	-192
0.730000	-191
0.730833	-187
0.731667	-192
0.732500	-191
0.733333	-190
0.734167	-191
0.735000	-187
0.735833	-191
0.736667	-192
0.737500	-188
0.738333	-187
0.739167	-189
0.740000	-192
0.740833	-187
0.741667	-197
0.742500	-191
0.743333	-184
0.744167	-190
0.745000	-195
0.745833	-195
0.746667	-195
0.747500	-190
0.748333	-190
0.749167	-193
0.750000	-188
0.750833	-181
0.751667	-188
0.752500	-186
0.753333	-185
0.754167	-184
0.755000	-185
0.755833	-182
0.756667	-188
0.757500	-192
0.758333	-184
0.759167	-189
0.760000	-186
0.760833	-182
0.761667	-185
0.762500	-185
0.763333	-182
0.764167	-193
0.765000	-190
0.765833	-185
0.766667	-187
0.767500	-192
0.768333	-192
0.769167	-192
0.770000	-198
0.770833	-190
0.771667	-190
0.772500	-201
0.773333	-192
0.774167	-202
0.775000	-198
0.775833	-193
0.776667	-191
0.777500	-196
0.778333	-188
0.779167	-192
0.780000	-196
0.780833	-189
0.781667	-188
0.782500	-194
0.783333	-186
0.784167	-191
0.785000	-190
0.785833	-188
0.786667	-196
0.787500	-189
0.788333	-194
0.789167	-198
0.790000	-193
0.790833	-192
0.791667	-196
0.792500	-199
0.793333	-195
0.794167	-193
0.795000	-192
0.795833	-192
0.796667	-190
0.797500	-191
0.798333	-194
0.799167	-195
0.800000	-193
0.800833	-190
0.801667	-197
0.802500	-193
0.803333	-197
0.804167	-196
0.805000	-194
0.805833	-203
0.806667	-200
0.807500	-201
0.808333	-194
0.809167	-201
0.810000	-198
0.810833	-197
0.811667	-201
0.812500	-199
0.813333	-202
0.814167	-205
0.815000	-201
0.815833	-203
0.816667	-208
0.817500	-207
0.818333	-205
0.819167	-208
0.820000	-203
0.820833	-204
0.821667	-208
0.822500	-209
0.823333	-199
0.824167	-196
0.825000	-199
0.825833	-197
0.826667	-205
0.827500	-199
0.828333	-201
0.829167	-202
0.830000	-197
0.830833	-199
0.831667	-197
0.832500	-202
0.833333	-198
0.834167	-201
0.835000	-204
0.835833	-197
0.836667	-202
0.837500	-197
0.838333	-201
0.839167	-203
0.840000	-204
0.840833	-205
0.841667	-199
0.842500	-203
0.843333	-201
0.844167	-211
0.845000	-209
0.845833	-204
0.846667	-207
0.847500	-203
0.848333	-199
0.849167	-205
0.850000	-205
0.850833	-201
0.851667	-212
0.852500	-214
0.853333	-206
0.854167	-217
0.855000	-211
0.855833	-211
0.856667	-213
0.857500	-215
0.858333	-211
0.859167	-217
0.860000	-219
0.860833	-216
0.861667	-218
0.862500	-220
0.863333	-215
0.864167	-217
0.865000	-219
0.865833	-217
0.866667	-211
0.867500	-219
0.868333	-215
0.869167	-220
0.870000	-215
0.870833	-216
0.871667	-217
0.872500	-221
0.873333	-217
0.874167	-216
0.875000	-218
0.875833	-209
0.876667	-218
0.877500	-217
0.878333	-214
0.879167	-221
0.880000	-218
0.880833	-215
0.881667	-216
0.882500	-212
0.883333	-207
0.884167	-218
0.885000	-217
0.885833	-211
0.886667	-211
0.887500	-213
0.888333	-214
0.889167	-218
0.890000	-212
0.890833	-215
0.891667	-218
0.892500	-221
0.893333	-214
0.894167	-221
0.895000	-220
0.895833	-217
0.896667	-214
0.897500	-217
0.898333	-219
0.899167	-218
0.900000	-217
0.900833	-216
0.901667	-214
0.902500	-224
0.903333	-220
0.904167	-216
0.905000	-216
0.905833	-220
0.906667	-217
0.907500	-217
0.908333	-207
0.909167	-213
0.910000	-217
0.910833	-214
0.911667	-216
0.912500	-217
0.913333	-219
0.914167	-215
0.915000	-220
0.915833	-215
0.916667	-221
0.917500	-222
0.918333	-221
0.919167	-220
0.920000	-228
0.920833	-223
0.921667	-230
0.922500	-224
0.923333	-224
0.924167	-224
0.925000	-229
0.925833	-224
0.926667	-229
0.927500	-236
0.928333	-229
0.929167	-232
0.930000	-225
0.930833	-225
0.931667	-221
0.932500	-229
0.933333	-228
0.934167	-228
0.935000	-234
0.935833	-229
0.936667	-235
0.937500	-227
0.938333	-226
0.939167	-218
0.940000	-223
0.940833	-225
0.941667	-229
0.942500	-228
0.943333	-227
0.944167	-230
0.945000	-229
0.945833	-222
0.946667	-226
0.947500	-220
0.948333	-225
0.949167	-227
0.950000	-228
0.950833	-221
0.951667	-222
0.952500	-224
0.953333	-221
0.954167	-227
0.955000	-230
0.955833	-223
0.956667	-220
0.957500	-226
0.958333	-226
0.959167	-228
0.960000	-233
0.960833	-229
0.961667	-227
0.962500	-230
0.963333	-222
0.964167	-223
0.965000	-219
0.965833	-223
0.966667	-230
0.967500	-232
0.968333	-223
0.969167	-228
0.970000	-227
0.970833	-218
0.971667	-222
0.972500	-224
0.973333	-218
0.974167	-229
0.975000	-225
0.975833	-227
0.976667	-227
0.977500	-228
0.978333	-224
0.979167	-233
0.980000	-227
0.980833	-224
0.981667	-224
0.982500	-219
0.983333	-228
0.984167	-227
0.985000	-229
0.985833	-221
0.986667	-222
0.987500	-224
0.988333	-226
0.989167	-228
0.990000	-223
0.990833	-220
0.991667	-227
0.992500	-228
0.993333	-229
0.994167	-229
0.995000	-225
0.995833	-226
0.996667	-222
0.997500	-226
0.998333	-224
0.999167	-227
1.000000	-225
1.000833	-222
1.001667	-231
1.002500	-232
1.003333	-229
1.004167	-235
1.005000	-231
1.005833	-234
1.006667	-237
1.007500	-232
1.008333	-228
1.009167	-229
1.010000	-229
1.010833	-228
1.011667	-234
1.012500	-233
1.013333	-234
1.014167	-234
1.015000	-237
1.015833	-228
1.016667	-237
1.017500	-231
1.018333	-232
1.019167	-230
1.020000	-228
1.020833	-224
1.021667	-228
1.022500	-231
1.023333	-230
1.024167	-232
1.025000	-233
1.025833	-226
1.026667	-230
1.027500	-236
1.028333	-230
1.029167	-232
1.030000	-232
1.030833	-236
1.031667	-245
1.032500	-243
1.033333	-239
1.034167	-239
1.035000	-233
1.035833	-239
1.036667	-238
1.037500	-236
1.038333	-237
1.039167	-246
1.040000	-238
1.040833	-233
1.041667	-241
1.042500	-236
1.043333	-234
1.044167	-235
1.045000	-240
1.045833	-246
1.046667	-248
1.047500	-240
1.048333	-241
1.049167	-243
1.050000	-240
1.050833	-237
1.051667	-242
1.052500	-241
1.053333	-238
1.054167	-245
1.055000	-239
1.055833	-239
1.056667	-241
